phi theta ratio
87.50  77.00 0.888723
87.50  79.00 0.853907
87.50  81.00 0.795392
87.50  83.00 0.712343
87.50  85.00 0.598055
87.50  87.00 0.431213
87.50  89.00 0.207429
92.50  1.00  1.000000
92.50  3.00  1.000000
92.50  5.00  1.000000
92.50  7.00  1.000000
92.50  9.00  1.000000
92.50  11.00 0.999976
92.50  13.00 0.999937
92.50  15.00 0.999920
92.50  17.00 0.999847
92.50  19.00 0.999788
92.50  21.00 0.999735
92.50  23.00 0.999606
92.50  25.00 0.999472
92.50  27.00 0.999376
92.50  29.00 0.999153
92.50  31.00 0.998812
92.50  33.00 0.998731
92.50  35.00 0.998438
92.50  37.00 0.998340
92.50  39.00 0.997700
92.50  41.00 0.997214
92.50  43.00 0.997010
92.50  45.00 0.996149
92.50  47.00 0.995030
92.50  49.00 0.994871
92.50  51.00 0.993609
92.50  53.00 0.992155
92.50  55.00 0.991269
92.50  57.00 0.989268
92.50  59.00 0.987467
92.50  61.00 0.984915
92.50  63.00 0.981163
92.50  65.00 0.976516
92.50  67.00 0.970788
92.50  69.00 0.963378
92.50  71.00 0.952120
92.50  73.00 0.938013
92.50  75.00 0.919516
92.50  77.00 0.889942
92.50  79.00 0.850733
92.50  81.00 0.795501
92.50  83.00 0.715019
92.50  85.00 0.599133
92.50  87.00 0.438969
92.50  89.00 0.206822
97.50  1.00  1.000000
97.50  3.00  1.000000
97.50  5.00  1.000000
97.50  7.00  1.000000
97.50  9.00  0.999992
97.50  11.00 0.999984
97.50  13.00 0.999992
97.50  15.00 0.999960
97.50  17.00 0.999911
97.50  19.00 0.999837
97.50  21.00 0.999768
97.50  23.00 0.999531
97.50  25.00 0.999532
97.50  27.00 0.999264
97.50  29.00 0.999197
97.50  31.00 0.998866
97.50  33.00 0.998639
97.50  35.00 0.998268
97.50  37.00 0.997964
97.50  39.00 0.997453
97.50  41.00 0.997306
97.50  43.00 0.996716
97.50  45.00 0.996365
97.50  47.00 0.995614
97.50  49.00 0.995195
97.50  51.00 0.993621
97.50  53.00 0.991508
97.50  55.00 0.991082
97.50  57.00 0.989830
97.50  59.00 0.986836
97.50  61.00 0.984539
97.50  63.00 0.980598
97.50  65.00 0.975729
97.50  67.00 0.970473
97.50  69.00 0.964428
97.50  71.00 0.954409
97.50  73.00 0.937331
97.50  75.00 0.921188
97.50  77.00 0.890857
97.50  79.00 0.857148
97.50  81.00 0.794727
97.50  83.00 0.714956
97.50  85.00 0.596053
97.50  87.00 0.435308
97.50  89.00 0.211191
102.50 1.00  1.000000
102.50 3.00  1.000000
102.50 5.00  1.000000
102.50 7.00  1.000000
102.50 9.00  1.000000
102.50 11.00 0.999992
102.50 13.00 0.999968
102.50 15.00 0.999944
102.50 17.00 0.999943
102.50 19.00 0.999837
102.50 21.00 0.999777
102.50 23.00 0.999656
102.50 25.00 0.999498
102.50 27.00 0.999350
102.50 29.00 0.999197
102.50 31.00 0.999046
102.50 33.00 0.998777
102.50 35.00 0.998381
102.50 37.00 0.998301
102.50 39.00 0.997769
102.50 41.00 0.997346
102.50 43.00 0.996936
102.50 45.00 0.996191
102.50 47.00 0.995781
102.50 49.00 0.994752
102.50 51.00 0.994092
102.50 53.00 0.992947
102.50 55.00 0.991302
102.50 57.00 0.989759
102.50 59.00 0.987739
102.50 61.00 0.985234
102.50 63.00 0.982179
102.50 65.00 0.977055
102.50 67.00 0.972205
102.50 69.00 0.963362
102.50 71.00 0.954661
102.50 73.00 0.939695
102.50 75.00 0.919380
102.50 77.00 0.891096
102.50 79.00 0.851573
102.50 81.00 0.796681
102.50 83.00 0.719312
102.50 85.00 0.597535
102.50 87.00 0.435499
102.50 89.00 0.212808
107.50 1.00  1.000000
107.50 3.00  1.000000
107.50 5.00  1.000000
107.50 7.00  1.000000
107.50 9.00  0.999984
107.50 11.00 0.999992
107.50 13.00 0.999992
107.50 15.00 0.999936
107.50 17.00 0.999895
107.50 19.00 0.999771
107.50 21.00 0.999785
107.50 23.00 0.999732
107.50 25.00 0.999591
107.50 27.00 0.999472
107.50 29.00 0.999206
107.50 31.00 0.999019
107.50 33.00 0.998896
